domain,activity,dominant_axis,sign,windows,fraction
wisdm,Walking,x,positive,1151,0.1394813378574891
wisdm,Walking,x,negative,176,0.021328162869607366
wisdm,Walking,y,positive,6925,0.8391904992729036
wisdm,Walking,y,negative,0,0.0
wisdm,Walking,z,positive,0,0.0
wisdm,Walking,z,negative,0,0.0
wisdm,Jogging,x,positive,893,0.13974960876369327
wisdm,Jogging,x,negative,1207,0.18888888888888888
wisdm,Jogging,y,positive,4043,0.6327073552425665
wisdm,Jogging,y,negative,247,0.03865414710485133
wisdm,Jogging,z,positive,0,0.0
wisdm,Jogging,z,negative,0,0.0
wisdm,Upstairs,x,positive,225,0.1016719385449616
wisdm,Upstairs,x,negative,162,0.07320379575237235
wisdm,Upstairs,y,positive,1819,0.8219611387257117
wisdm,Upstairs,y,negative,5,0.0022593764121102574
wisdm,Upstairs,z,positive,2,0.0009037505648441031
wisdm,Upstairs,z,negative,0,0.0
wisdm,Downstairs,x,positive,105,0.05902192242833052
wisdm,Downstairs,x,negative,39,0.021922428330522766
wisdm,Downstairs,y,positive,1619,0.910061832490163
wisdm,Downstairs,y,negative,16,0.008993816750983699
wisdm,Downstairs,z,positive,0,0.0
wisdm,Downstairs,z,negative,0,0.0
wisdm,Sitting,x,positive,209,0.18095238095238095
wisdm,Sitting,x,negative,28,0.024242424242424242
wisdm,Sitting,y,positive,110,0.09523809523809523
wisdm,Sitting,y,negative,0,0.0
wisdm,Sitting,z,positive,800,0.6926406926406926
wisdm,Sitting,z,negative,8,0.006926406926406926
wisdm,Standing,x,positive,19,0.020652173913043477
wisdm,Standing,x,negative,66,0.07173913043478261
wisdm,Standing,y,positive,835,0.907608695652174
wisdm,Standing,y,negative,0,0.0
wisdm,Standing,z,positive,0,0.0
wisdm,Standing,z,negative,0,0.0
arduino,Walking,x,positive,0,0.0
arduino,Walking,x,negative,801,1.0
arduino,Walking,y,positive,0,0.0
arduino,Walking,y,negative,0,0.0
arduino,Walking,z,positive,0,0.0
arduino,Walking,z,negative,0,0.0
arduino,Jogging,x,positive,0,0.0
arduino,Jogging,x,negative,716,0.8972431077694235
arduino,Jogging,y,positive,82,0.10275689223057644
arduino,Jogging,y,negative,0,0.0
arduino,Jogging,z,positive,0,0.0
arduino,Jogging,z,negative,0,0.0
arduino,Upstairs,x,positive,0,0.0
arduino,Upstairs,x,negative,490,0.6125
arduino,Upstairs,y,positive,288,0.36
arduino,Upstairs,y,negative,13,0.01625
arduino,Upstairs,z,positive,9,0.01125
arduino,Upstairs,z,negative,0,0.0
arduino,Downstairs,x,positive,0,0.0
arduino,Downstairs,x,negative,419,0.525062656641604
arduino,Downstairs,y,positive,379,0.474937343358396
arduino,Downstairs,y,negative,0,0.0
arduino,Downstairs,z,positive,0,0.0
arduino,Downstairs,z,negative,0,0.0
arduino,Sitting,x,positive,0,0.0
arduino,Sitting,x,negative,0,0.0
arduino,Sitting,y,positive,0,0.0
arduino,Sitting,y,negative,0,0.0
arduino,Sitting,z,positive,798,1.0
arduino,Sitting,z,negative,0,0.0
arduino,Standing,x,positive,0,0.0
arduino,Standing,x,negative,398,0.4993726474278545
arduino,Standing,y,positive,0,0.0
arduino,Standing,y,negative,399,0.5006273525721455
arduino,Standing,z,positive,0,0.0
arduino,Standing,z,negative,0,0.0
