results_bundle,experiment_id,model_variant,data_source,train_domain,eval_domain,transfer_mode,unit_mode,normalization_mode,inference_norm_applied,window_size_samples,window_duration_seconds,split_protocol,seed,notes,arduino_fp32_accuracy,arduino_fp32_macro_f1,arduino_ptq_accuracy,arduino_ptq_macro_f1,arduino_qat_accuracy,arduino_qat_macro_f1,arduino_model_size_kb,arduino_latency_mean_ms,arduino_latency_p95_ms,arduino_deploy_gate_status,wisdm_fp32_accuracy,wisdm_fp32_macro_f1,wisdm_ptq_accuracy,wisdm_ptq_macro_f1,wisdm_qat_accuracy,wisdm_qat_macro_f1,wisdm_model_size_kb,wisdm_latency_mean_ms,wisdm_latency_p95_ms,wisdm_deploy_gate_status
arch_seq/daghero_cnn_2layer_conv2d/e00,E00_wisdm_m2_anchor,daghero_cnn_2layer_conv2d,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_daghero_cnn_2layer_conv2d_r0; fp32_tflite=ok; ptq=ok; qat=ok; M3 WISDM M2 anchor.,,,,,,,,,,,0.9920983318700616,0.9893811078113246,0.9920983318700616,0.98923976965688,0.99297629499561,0.9901445558676766,26.1328125,0.0775020859387076,0.0908275000028879,ptq=ok;qat=ok
full_e00,E00_wisdm_m2_anchor,deepconv_lstm_conv2d,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_deepconv_lstm_r0; fp32_tflite=ok; ptq=ok; qat=ok; M3 WISDM M2 anchor.,,,,,,,,,,,0.9884401521802753,0.9831177999390308,0.9800995024875622,0.9713485385927912,0.8238220661398888,0.7751120983264624,136.921875,4.26394736328195,4.33369924999738,ptq=ok;qat=ok
arch_seq/repmobile_folded_conv2d/e00,E00_wisdm_m2_anchor,repmobile_folded_conv2d,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_repmobile_folded_conv2d_r0; fp32_tflite=ok; ptq=ok; qat=ok; M3 WISDM M2 anchor.,,,,,,,,,,,0.9416154521510096,0.915202284250101,0.9417617793386012,0.9147946364819458,0.9536142815335088,0.9340028169212138,42.125,0.3319035468756226,0.354818249974187,ptq=ok;qat=ok
arch_seq/tcn_attention_har_teacher_conv2d/e00,E00_wisdm_m2_anchor,tcn_attention_har_teacher_conv2d,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_tcn_attention_har_teacher_conv2d_r0; fp32_tflite=ok; ptq=ok; qat=ok; M3 WISDM M2 anchor.,,,,,,,,,,,0.9942932396839332,0.9915117203094934,0.9938542581211588,0.9908532082374902,0.9950248756218906,0.9925260256072522,578.3984375,8.300172757812696,8.572420999996666,ptq=ok;qat=ok
arch_seq/tcn_inception_conv2d/e00,E00_wisdm_m2_anchor,tcn_inception_conv2d,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_tcn_inception_conv2d_r0; fp32_tflite=ok; ptq=ok; qat=ok; M3 WISDM M2 anchor.,,,,,,,,,,,0.9964881474978052,0.994835165005712,0.9964881474978052,0.9949451241524502,0.9976587649985368,0.996360392528042,369.921875,2.3995259609363995,2.424983499992095,ptq=ok;qat=ok
arch_seq/xtinyhar_student_conv2d/e00,E00_wisdm_m2_anchor,xtinyhar_student_conv2d,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_xtinyhar_student_conv2d_r0; fp32_tflite=ok; ptq=failed; qat=failed; M3 WISDM M2 anchor.,,,,,,,,,,,0.9569798068481123,0.9442987986633136,0.9562481709101552,0.9435157979013424,0.9615159496634474,0.9493589080627994,315.2109375,0.3265276328108246,0.3415525000178832,ptq=failed;qat=failed
arch_seq/xtinyhar_student_conv2d_relu/e00,E00_wisdm_m2_anchor,xtinyhar_student_conv2d_relu,wisdm,wisdm,wisdm,source_only,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E00_xtinyhar_student_conv2d_relu_r0; fp32_tflite=ok; ptq=ok; qat=ok; M3 WISDM M2 anchor.,,,,,,,,,,,0.9364940005853089,0.9139169403752114,0.936201346210126,0.9133031459235842,0.9511267193444544,0.9345297945275496,312.3671875,0.33727480468837,0.3476402500126596,ptq=ok;qat=ok
arch_seq/daghero_cnn_2layer_conv2d/e03,E03_arduino_downsample_20hz_T100,daghero_cnn_2layer_conv2d,wisdm_arduino,wisdm,arduino,zero_shot,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E03_daghero_cnn_2layer_conv2d_r0; fp32_tflite=ok; ptq=ok; qat=ok; zero_shot source=wisdm eval=arduino; target arrays normalized with source train stats; WISDM-compatible Arduino zero-shot using the current 20 Hz merged numeric-user CSV.,0.1662452591656131,0.0475158084914182,0.1662452591656131,0.0475158084914182,0.1662452591656131,0.0475158084914182,26.1328125,0.0768818906236035,0.0920610000179067,ptq=ok;qat=ok,0.9920983318700616,0.9893811078113246,0.9920983318700616,0.98923976965688,0.99297629499561,0.9901445558676766,26.1328125,0.0775020859387076,0.0908275000028879,ptq=ok;qat=ok
full_e03,E03_arduino_downsample_20hz_T100,deepconv_lstm_conv2d,wisdm_arduino,wisdm,arduino,zero_shot,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E03_deepconv_lstm_r0; fp32_tflite=ok; ptq=ok; qat=ok; zero_shot source=wisdm eval=arduino; target arrays normalized with source train stats; WISDM-compatible Arduino zero-shot using the current 20 Hz merged numeric-user CSV.,0.1757269279393173,0.0665477848759946,0.2275600505689001,0.1103735764006621,0.1687737041719342,0.0514935549228683,136.921875,4.257003031248541,4.333549000008929,ptq=ok;qat=ok,0.9884401521802753,0.9831177999390308,0.9800995024875622,0.9713485385927912,0.8238220661398888,0.7751120983264624,136.921875,4.26394736328195,4.33369924999738,ptq=ok;qat=ok
arch_seq/repmobile_folded_conv2d/e03,E03_arduino_downsample_20hz_T100,repmobile_folded_conv2d,wisdm_arduino,wisdm,arduino,zero_shot,raw_no_conversion,train_zscore,True,100,5.0,random_stratified,42,run_id=E03_repmobile_folded_conv2d_r0; fp32_tflite=ok; ptq=ok; qat=ok; zero_shot source=wisdm eval=arduino; target arrays normalized with source train stats; WISDM-compatible Arduino zero-shot using the current 20 Hz merged numeric-user CSV.,0.1668773704171934,0.0476706392199349,0.1668773704171934,0.0476706392199349,0.1668773704171934,0.0476706392199349,42.125,0.3349472226552574,0.4088117499776444,ptq=ok;qat=ok,0.9416154521510096,0.915202284250101,0.9417617793386012,0.9147946364819458,0.9536142815335088,0.9340028169212138,42.125,0.3319035468756226,0.354818249974187,ptq=ok;qat=ok
